Ep: 1-66, Best score: 98.6971, Min: 7.4919, Avg: 69.7910
Ep: 1-65, Best score: 101.3889, Min: 30.8725, Avg: 73.7349
Ep: 1-64, Best score: 128.0000, Min: 106.6421, Avg: 113.3352
Ep: 1-63, Best score: 162.0690, Min: 62.5000, Avg: 119.8267
Ep: 1-62, Best score: 112.6866, Min: 54.0984, Avg: 76.7974
Ep: 1-61, Best score: 190.5405, Min: 69.5906, Avg: 121.7326
Ep: 1-60, Best score: 153.2895, Min: -1.4599, Avg: 83.5653
Ep: 1-59, Best score: 181.7337, Min: -50.4644, Avg: 68.2801
Ep: 1-58, Best score: 143.5897, Min: 17.6471, Avg: 82.7727
Ep: 1-57, Best score: 196.0289, Min: -37.5000, Avg: 73.5288
Ep: 1-56, Best score: 312.0000, Min: 78.0415, Avg: 144.3276
Ep: 1-55, Best score: 168.3706, Min: 80.6854, Avg: 125.6760
Ep: 1-54, Best score: 192.1348, Min: 22.1865, Avg: 125.6762
Ep: 1-53, Best score: 178.9855, Min: 84.6154, Avg: 120.7982
Ep: 1-52, Best score: 240.2490, Min: 53.8462, Avg: 123.1860
Ep: 1-51, Best score: 185.7143, Min: 129.9270, Avg: 160.4944
Ep: 1-50, Best score: 180.1556, Min: 40.5229, Avg: 125.4468
Ep: 1-49, Best score: 208.9701, Min: 120.0000, Avg: 163.8597
Ep: 1-48, Best score: 223.0241, Min: 41.9142, Avg: 148.0562
Ep: 1-47, Best score: 243.8596, Min: 55.5556, Avg: 116.0294
Ep: 1-46, Best score: 165.5738, Min: 75.2137, Avg: 115.4989
Ep: 1-45, Best score: 181.7869, Min: -4.4586, Avg: 97.9399
Ep: 1-44, Best score: 186.6044, Min: 111.6788, Avg: 149.4523
Ep: 1-43, Best score: 172.4014, Min: 37.6812, Avg: 121.2315
Ep: 1-42, Best score: 197.4910, Min: 57.7181, Avg: 141.8497
Ep: 1-41, Best score: 228.6219, Min: 38.8889, Avg: 151.8535
Ep: 1-40, Best score: 219.0789, Min: 176.4505, Avg: 202.9841
Ep: 1-39, Best score: 271.3235, Min: 65.4676, Avg: 182.1854
Ep: 1-38, Best score: 302.5424, Min: 22.8669, Avg: 131.6373
Ep: 1-37, Best score: 152.5952, Min: -27.6730, Avg: 39.1825
Ep: 1-36, Best score: 200.3663, Min: -11.1842, Avg: 106.2073
Ep: 1-35, Best score: 221.4286, Min: 134.3234, Avg: 177.6006
Ep: 1-34, Best score: 212.2677, Min: 112.1212, Avg: 156.1924
Ep: 1-33, Best score: 163.1579, Min: 43.3566, Avg: 132.3416
Ep: 1-32, Best score: 273.5849, Min: 35.7616, Avg: 147.0045
